"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2024","124.5469","124.5057","124.5469","124.5057","","0.03%"
"11/10/2024","124.5057","124.5057","124.5057","124.5057","","3.11%"
"11/08/2024","120.7507","123.8172","123.8231","121.4500","","-0.47%"
"11/07/2024","121.3172","123.0996","123.8172","121.5248","","0.60%"
"11/06/2024","120.5996","122.5122","123.1058","121.3061","","0.49%"
"11/05/2024","120.0122","122.8805","122.8805","121.0000","","-0.31%"
"11/04/2024","120.3805","122.7902","122.9853","121.0345","","0.08%"
"11/01/2024","120.2902","122.6004","122.9401","120.9405","","0.16%"
"10/31/2024","120.1004","122.8299","122.8299","122.6004","","-0.19%"
"10/30/2024","120.3299","122.6019","122.8299","120.7010","","0.19%"
"10/29/2024","120.1019","122.6019","122.6080","120.4650","","0.50%"
"10/28/2024","119.5000","122.0504","122.0686","120.2415","","-2.09%"
"10/25/2024","122.0504","121.6021","122.0504","120.3265","","2.56%"
"10/24/2024","119.0000","119.6238","121.6021","118.5619","","-0.52%"
"10/23/2024","119.6238","121.6888","121.6888","119.6238","","-1.70%"
"10/22/2024","121.6888","120.4328","121.6888","119.2730","","1.04%"
"10/21/2024","120.4328","120.2263","120.4328","118.4410","","1.35%"
"10/18/2024","118.8335","119.9475","120.5460","118.3737","","0.18%"
"10/17/2024","118.6250","120.5993","120.5993","118.6237","","-1.64%"
"10/16/2024","120.5993","121.1369","121.1369","119.3410","","-0.44%"
"10/15/2024","121.1369","120.1460","121.1369","119.6500","","0.82%"
"10/14/2024","120.1460","120.1360","120.1460","120.1360","","0.01%"
"10/11/2024","120.1360","119.7562","120.1360","119.7562","","0.32%"
"10/10/2024","119.7562","120.5982","122.1865","119.6381","","-0.70%"
"10/09/2024","120.5982","119.8198","122.2341","119.8198","","0.65%"
"10/08/2024","119.8198","121.4020","121.4080","119.8198","","-1.26%"
"10/07/2024","121.3485","119.4661","121.4080","119.4661","","1.58%"
"10/04/2024","119.4661","119.6306","120.6510","119.3830","","-1.10%"
"10/03/2024","120.8000","119.3469","121.1070","119.3234","","1.22%"
"10/02/2024","119.3469","119.6055","119.7038","117.7335","","-0.17%"
"10/01/2024","119.5525","118.4662","121.1010","118.0825","","0.92%"
"09/30/2024","118.4662","117.7532","119.1341","117.7532","","0.61%"
"09/27/2024","117.7532","117.7533","118.3695","117.7532","","0.00%"
"09/26/2024","117.7533","119.4739","119.5590","117.7533","","-2.10%"
"09/25/2024","120.2750","119.1635","120.3120","119.1635","","0.87%"
"09/24/2024","119.2417","119.7500","120.1551","119.2208","","-0.10%"
"09/23/2024","119.3602","119.2164","119.3602","119.2164","","0.12%"
"09/20/2024","119.2164","116.0416","119.2222","116.0416","","2.74%"
"09/19/2024","116.0416","114.3145","117.5208","114.3145","","0.83%"
"09/18/2024","115.0863","114.7375","116.2431","114.7188","","0.30%"
"09/17/2024","114.7375","113.9933","114.7375","113.9933","","-1.00%"
"09/16/2024","115.9000","113.8840","115.9000","113.8840","","1.77%"
"09/13/2024","113.8840","117.1652","117.1652","113.8840","","-2.80%"
"09/12/2024","117.1652","117.0826","117.1652","117.0500","","2.91%"
"09/11/2024","113.8505","113.8505","113.8505","113.8505","","0.00%"
"09/10/2024","113.8505","114.2896","114.2896","113.8505","","-0.38%"
"09/09/2024","114.2896","113.6494","114.8698","113.6494","","0.56%"
"09/06/2024","113.6494","114.7777","114.7777","113.6494","","-0.98%"
"09/05/2024","114.7777","111.1971","114.7777","111.1971","","3.22%"
"09/04/2024","111.1971","111.1971","111.3555","111.1971","","0.00%"
"09/03/2024","111.1971","111.0682","112.0985","111.0146","","0.12%"
"09/02/2024","111.0682","111.0682","111.0682","111.0682","","0.00%"
"08/30/2024","111.0682","110.1685","111.0682","110.1120","","0.82%"
"08/29/2024","110.1685","110.1513","111.0843","110.0757","","0.02%"
"08/28/2024","110.1513","111.3042","111.3042","110.1513","","-1.05%"
"08/27/2024","111.3210","113.6483","113.6483","111.2501","","0.28%"
"08/26/2024","111.0140","110.9495","111.0677","110.8958","","0.06%"
"08/23/2024","110.9495","109.2523","110.9495","109.0370","","1.55%"
"08/22/2024","109.2523","109.2523","109.2523","109.0000","","0.00%"
"08/21/2024","109.2523","109.0843","110.0000","109.0843","","0.15%"
"08/20/2024","109.0843","109.0843","109.0897","109.0316","","0.00%"
"08/19/2024","109.0843","109.4410","109.4410","109.0316","","-0.33%"
"08/16/2024","109.4410","109.4410","109.4410","109.4410","","0.00%"
"08/15/2024","109.4410","110.2596","110.6003","109.1003","","-0.74%"
"08/14/2024","110.2596","110.2596","110.2703","110.1513","","0.00%"
"08/13/2024","110.2596","103.6639","110.2705","103.6639","","6.32%"
"08/12/2024","103.7100","103.1196","106.3070","103.1196","","0.57%"
"08/09/2024","103.1196","106.7366","106.7366","103.0693","","2.20%"
"08/08/2024","100.8973","99.0820","100.9464","99.0330","","1.48%"
"08/07/2024","99.4288","99.1270","99.5004","99.0330","","5.82%"
"08/06/2024","93.9619","93.9619","93.9619","93.9619","","0.00%"
"08/05/2024","93.9619","80.4352","93.9619","80.4352","","16.72%"
"08/02/2024","80.5000","77.4030","80.9768","77.4030","","4.58%"
"08/01/2024","76.9729","79.7596","79.7596","77.2532","","-3.49%"
"07/31/2024","79.7596","75.4796","79.7596","75.4796","","5.67%"
"07/30/2024","75.4796","78.3697","78.3779","75.4055","","31.29%"
"07/29/2024","57.4895","57.8130","57.8130","57.8130","","0.00%"
"07/26/2024","57.4895","57.8102","57.8130","57.8102","","0.01%"
"07/25/2024","57.4838","57.8045","57.8131","57.7814","","0.02%"
"07/24/2024","57.4723","57.8018","57.8074","57.7407","","0.01%"
"07/23/2024","57.4671","57.7961","57.8018","57.7961","","0.02%"
"07/22/2024","57.4556","57.7933","57.7961","57.7500","","0.01%"
"07/19/2024","57.4499","57.7881","57.7933","57.6632","","0.02%"
"07/18/2024","57.4395","57.7855","57.7881","57.7000","","0.01%"
"07/17/2024","57.4344","57.7800","57.7855","57.7000","","0.02%"
"07/16/2024","57.4234","57.7775","57.7800","57.7775","","0.01%"
"07/15/2024","57.4183","57.7723","57.7775","57.7000","","0.02%"
"07/12/2024","57.4079","57.7694","57.7723","57.6900","","0.01%"
"07/11/2024","57.4022","57.7643","57.7723","57.6624","","0.02%"
"07/10/2024","57.3919","57.7617","57.7643","57.6800","","0.01%"
"07/09/2024","57.3867","57.7559","57.7617","57.7559","","0.02%"
"07/08/2024","57.3752","57.7533","57.7559","57.7533","","0.01%"
"07/05/2024","57.3701","57.7481","57.7533","57.6500","","0.02%"
"07/04/2024","57.3597","57.7453","57.7481","57.7453","","0.01%"
"07/03/2024","57.3540","57.7398","57.7482","57.3483","","0.02%"
"07/02/2024","57.3431","57.7373","57.7427","57.3429","","0.01%"
"07/01/2024","57.3380","57.7315","57.7402","57.6903","","0.02%"
"06/28/2024","57.3265","57.7264","57.7315","57.7189","","0.02%"
"06/27/2024","57.3162","57.7189","57.7293","57.6903","","0.03%"
"06/26/2024","57.3013","57.7141","57.7189","57.6000","","0.02%"
"06/25/2024","57.2915","57.7060","57.7169","57.5524","","-0.72%"
"06/24/2024","57.7060","57.7010","57.7089","57.5274","","0.01%"
"06/21/2024","57.7010","57.6932","57.7010","57.5500","","0.01%"
"06/20/2024","57.6932","57.6886","57.6961","57.5274","","0.01%"
"06/19/2024","57.6886","57.6797","57.6886","57.4789","","0.02%"
"06/18/2024","57.6797","57.6743","57.6797","57.4500","","0.01%"
"06/17/2024","57.6743","57.6657","57.6772","57.5250","","0.01%"
"06/14/2024","57.6657","57.6598","57.6657","57.5250","","0.01%"
"06/13/2024","57.6598","57.6508","57.6598","57.5000","","0.02%"
"06/12/2024","57.6508","57.6451","57.6508","57.4000","","0.01%"
"06/11/2024","57.6451","57.6366","57.6451","57.4000","","0.01%"
"06/10/2024","57.6366","57.5075","57.6366","57.4000","","0.90%"
"06/07/2024","57.1246","57.4986","57.5103","57.3838","","0.03%"
"06/06/2024","57.1069","57.4931","57.5015","57.3250","","0.02%"
"06/05/2024","57.0960","57.4846","57.4961","57.3500","","0.03%"
"06/04/2024","57.0789","57.4789","57.4846","57.3500","","0.02%"
"06/03/2024","57.0675","57.4703","57.4818","56.9138","","0.03%"
